IG,Y_all,E_all,pm10,smoke,ethnic,log.price,easting,northing
S02000638,174,137.419936,18.15,33.1,8.41,11.00209984,25.43387434,66.43720464
S02000639,99,93.911097,17.7,30.2,3,11.16336799,25.24800687,66.45206322
S02000640,189,150.492655,19.1,31.5,3,10.93310697,26.48428724,66.45988644
S02000641,190,145.836052,17.4,38.2,1.69,11.09145292,25.17045962,66.45999181
S02000642,62,94.107823,19.6,33.4,42.41,11.46845097,25.69947929,66.46494154
S02000643,152,122.650681,19,37.6,7.84,10.37349118,26.32726966,66.47250971
S02000644,60,89.187151,18.8,42.4,28.8,10.89209895,25.62434848,66.47436578
S02000645,69,76.950094000000007,18.7,22.2,5.41,11.69503867,26.8228459,66.47446005
S02000646,107,104.483335,18.9,46.8,0.58,10.87804719,26.61561757,66.47875595
S02000647,115,89.440344,20.3,40.3,2.35,11.69524702,26.05474766,66.49575704
S02000648,141,113.449823,19.7,43.4,3.57,10.73639668,26.20520635,66.49929267
S02000649,90,81.138148,19,47,9.9,10.85466269,25.57017651,66.50950705
S02000650,84,87.673623,20.5,33.4,11.18,11.39245131,26.08700625,66.528459
S02000651,51,68.277486,20,30.5,23.97,12.09508522,25.77077733,66.54261765
S02000652,82,80.726076,18.5,52.4,0.26,10.85417971,26.68966273,66.54500941
S02000653,95,75.698194,18.3,46.4,0.89,10.68051622,26.92605784,66.54669623
S02000654,212,159.87724,19,40.5,3.63,11.08214255,26.45227113,66.54739017
S02000655,65,80.095615,20.3,30.3,49.2,11.78524006,25.85588875,66.55009755
S02000656,170,127.377036,18.3,46.7,5.95,10.59663473,25.48520324,66.5526797
S02000657,187,144.054437,19.25,33.4,1,11.17745273,26.31978251,66.55900063
S02000658,222,199.694622,20.4,33.2,17.14,11.65268741,25.9611167,66.57044425
S02000659,198,168.343809,19.7,36.6,10.32,11.36152101,26.16476936,66.57103223
S02000660,216,170.041916,18.3,37.8,3.27,11.17043516,25.31692587,66.57569688
S02000661,78,90.206939,19.7,29.5,29.22,11.73606902,25.67908296,66.57758848
S02000662,87,70.235801,18.35,50.4,0.15,10.04324949,26.81294123,66.59240822
S02000663,190,134.055377,18.65,42.9,0.52,10.69194491,26.53938806,66.63717213
S02000664,108,99.431015,19.9,30.3,12.93,11.78104238,25.63418031,66.64323268
S02000665,68,75.655934,20,28.4,67.83,11.91921024,25.76960422,66.64578127
S02000666,163,133.249868,19.6,50,11.11,10.73639668,26.15998826,66.64903297
S02000667,207,175.666251,18.9,37.2,0.92,11.14903887,26.37659275,66.6532359
S02000668,58,56.712486,18.85,30,6.77,12.1278408,25.49386015,66.65468642
